RateDTO,RateDTO.ID,RateDTO.exactCost,RateDTO.service,RateDTO.isCheapest,RateDTO.isFastest,RateDTO.isBest,RateDTO.deliveryDate,RateDTO.deliveryTime,RateDTO.deliveryDayOfWeek,RateDTO.estimatedDelivery,RateDTO.upsPrice,RateDTO.upsPriceOG,RateDTO.ourPrice,RateDTO.ourPriceString,RateDTO.isSelected,RateDTO.serviceClass,RateDTO.percentSaved,RateDTO.percentSavedString,RateDTO.usps,RateDTO.ups
Thunder.Models.RateDTO,0,9394,"UPS Next Day Air Early",False,False,False,06/30,"08:00 AM",Friday,"Estimated Delivery Friday 06/30 by 08:00 AM if shipped today","$93.94 retail",9394,41.55,$41.55,False,ups_next_day_air_early,62.97,"Save 62.97%",False,True
Thunder.Models.RateDTO,1,5966,"UPS Next Day Air",False,False,False,06/30,"10:30 AM",Friday,"Estimated Delivery Friday 06/30 by 10:30 AM if shipped today","$59.66 retail",5966,36.44,$36.44,False,ups_next_day_air,43.15,"Save 43.15%",False,True
Thunder.Models.RateDTO,2,4407,"UPS 2nd Day Air [Saturday Delivery]",False,False,False,07/01,"11:00 PM",Saturday,"Estimated Delivery Saturday 07/01 by 11:00 PM if shipped today","$44.07 retail",4407,30.11,$30.11,False,ups_2nd_day_air,34.61,"Save 34.61%",False,True
Thunder.Models.RateDTO,4,1625,"UPS Ground [Saturday Delivery]",False,False,False,07/01,"11:00 PM",Saturday,"Estimated Delivery Saturday 07/01 by 11:00 PM if shipped today","$16.25 retail",1625,5.41,$5.41,False,ups_ground,75.80,"Save 75.80%",False,True
Thunder.Models.RateDTO,4,2579,"UPS 2nd Day Air",False,False,False,07/03,"11:00 PM",Monday,"Estimated Delivery Monday 07/03 by 11:00 PM if shipped today","$25.79 retail",2579,17.62,$17.62,False,ups_2nd_day_air,34.61,"Save 34.61%",False,True
Thunder.Models.RateDTO,5,1225,"UPS Ground",False,False,False,07/03,"11:00 PM",Monday,"Estimated Delivery Monday 07/03 by 11:00 PM if shipped today","$12.25 retail",1225,4.08,$4.08,False,ups_ground,75.80,"Save 75.80%",False,True
Thunder.Models.RateDTO,6,1799,"UPS 3 Day Select",False,False,False,07/05,"11:00 PM",Wednesday,"Estimated Delivery Wednesday 07/05 by 11:00 PM if shipped today","$17.99 retail",1799,11.00,$11.00,False,ups_3_day_select,43.08,"Save 43.08%",False,True
