RateDTO,RateDTO.ID,RateDTO.exactCost,RateDTO.service,RateDTO.isCheapest,RateDTO.isFastest,RateDTO.isBest,RateDTO.deliveryDate,RateDTO.deliveryTime,RateDTO.deliveryDayOfWeek,RateDTO.estimatedDelivery,RateDTO.upsPrice,RateDTO.upsPriceOG,RateDTO.ourPrice,RateDTO.ourPriceString,RateDTO.isSelected,RateDTO.serviceClass,RateDTO.percentSaved,RateDTO.percentSavedString,RateDTO.usps,RateDTO.ups
Thunder.Models.RateDTO,2,128500,"UPS Next Day Air",False,False,False,07/24,"10:30 AM",Monday,"Estimated Delivery Monday 07/24 by 10:30 AM if shipped today","$1285.00 retail",128500,998.70,$998.70,False,ups_next_day_air,22.28,"Save 22.28%",False,True
Thunder.Models.RateDTO,3,95877,"UPS 2nd Day Air",False,False,False,07/25,"11:00 PM",Tuesday,"Estimated Delivery Tuesday 07/25 by 11:00 PM if shipped today","$958.77 retail",95877,729.82,$729.82,False,ups_2nd_day_air,23.88,"Save 23.88%",False,True
Thunder.Models.RateDTO,5,22797,"UPS Ground",True,False,False,07/26,"11:00 PM",Wednesday,"Estimated Delivery Wednesday 07/26 by 11:00 PM if shipped today","$227.97 retail",22797,134.27,$134.27,True,ups_ground,41.10,"Save 41.10%",False,True
Thunder.Models.RateDTO,0,125537,"UPS Next Day Air [Saturday Delivery]",False,True,False,07/22,"12:00 PM",Saturday,"Estimated Delivery Saturday 07/22 by 12:00 PM if shipped today","$1255.37 retail",125537,975.05,$975.05,False,ups_next_day_air_saturday,22.33,"Save 22.33%",False,True
Thunder.Models.RateDTO,4,63405,"UPS 3 Day Select",False,False,True,07/26,"11:00 PM",Wednesday,"Estimated Delivery Wednesday 07/26 by 11:00 PM if shipped today","$634.05 retail",63405,432.68,$432.68,False,ups_3_day_select,31.76,"Save 31.76%",False,True
Thunder.Models.RateDTO,1,127136,"UPS Next Day Air Early",False,False,False,07/24,"08:00 AM",Monday,"Estimated Delivery Monday 07/24 by 08:00 AM if shipped today","$1271.36 retail",127136,936.99,$936.99,False,ups_next_day_air_early,26.30,"Save 26.30%",False,True
Thunder.Models.RateDTO,2,123709,"UPS Next Day Air",False,False,False,07/24,"10:30 AM",Monday,"Estimated Delivery Monday 07/24 by 10:30 AM if shipped today","$1237.09 retail",123709,960.85,$960.85,False,ups_next_day_air,22.33,"Save 22.33%",False,True
Thunder.Models.RateDTO,3,92340,"UPS 2nd Day Air",False,False,False,07/25,"11:00 PM",Tuesday,"Estimated Delivery Tuesday 07/25 by 11:00 PM if shipped today","$923.40 retail",92340,701.78,$701.78,False,ups_2nd_day_air,24.00,"Save 24.00%",False,True
Thunder.Models.RateDTO,5,26288,"UPS Ground",True,False,False,07/26,"11:00 PM",Wednesday,"Estimated Delivery Wednesday 07/26 by 11:00 PM if shipped today","$262.88 retail",26288,154.21,$154.21,True,ups_ground,41.34,"Save 41.34%",False,True
Thunder.Models.RateDTO,0,149490,"UPS Next Day Air [Saturday Delivery]",False,True,False,07/22,"12:00 PM",Saturday,"Estimated Delivery Saturday 07/22 by 12:00 PM if shipped today","$1494.90 retail",149490,1164.38,$1164.38,False,ups_next_day_air_saturday,22.11,"Save 22.11%",False,True
Thunder.Models.RateDTO,1,151090,"UPS Next Day Air Early",False,False,True,07/24,"08:00 AM",Monday,"Estimated Delivery Monday 07/24 by 08:00 AM if shipped today","$1510.90 retail",151090,1125.17,$1125.17,False,ups_next_day_air_early,25.53,"Save 25.53%",False,True
Thunder.Models.RateDTO,2,147662,"UPS Next Day Air",False,False,False,07/24,"10:30 AM",Monday,"Estimated Delivery Monday 07/24 by 10:30 AM if shipped today","$1476.62 retail",147662,1150.14,$1150.14,False,ups_next_day_air,22.11,"Save 22.11%",False,True
Thunder.Models.RateDTO,3,110393,"UPS 2nd Day Air",False,False,False,07/25,"11:00 PM",Tuesday,"Estimated Delivery Tuesday 07/25 by 11:00 PM if shipped today","$1103.93 retail",110393,844.62,$844.62,False,ups_2nd_day_air,23.49,"Save 23.49%",False,True
Thunder.Models.RateDTO,4,75296,"UPS 3 Day Select",False,False,False,07/26,"11:00 PM",Wednesday,"Estimated Delivery Wednesday 07/26 by 11:00 PM if shipped today","$752.96 retail",75296,677.66,$677.66,False,ups_3_day_select,10.00,"Save 10.00%",False,True
