RateDTO,RateDTO.ID,RateDTO.exactCost,RateDTO.service,RateDTO.isCheapest,RateDTO.isFastest,RateDTO.isBest,RateDTO.deliveryDate,RateDTO.deliveryTime,RateDTO.deliveryDayOfWeek,RateDTO.estimatedDelivery,RateDTO.upsPrice,RateDTO.upsPriceOG,RateDTO.ourPrice,RateDTO.ourPriceString,RateDTO.isSelected,RateDTO.serviceClass,RateDTO.percentSaved,RateDTO.percentSavedString,RateDTO.usps,RateDTO.ups
Thunder.Models.RateDTO,4,19170,"UPS Ground",True,False,False,07/25,"11:00 PM",Tuesday,"Estimated Delivery Tuesday 07/25 by 11:00 PM if shipped today","$191.70 retail",19170,110.44,$110.44,True,ups_ground,42.39,"Save 42.39%",False,True
Thunder.Models.RateDTO,0,101526,"UPS Next Day Air Early",False,True,False,07/21,"08:00 AM",Friday,"Estimated Delivery Friday 07/21 by 08:00 AM if shipped today","$1015.26 retail",101526,737.18,$737.18,False,ups_next_day_air_early,27.39,"Save 27.39%",False,True
Thunder.Models.RateDTO,3,50592,"UPS 3 Day Select",False,False,True,07/25,"11:00 PM",Tuesday,"Estimated Delivery Tuesday 07/25 by 11:00 PM if shipped today","$505.92 retail",50592,349.94,$349.94,False,ups_3_day_select,30.83,"Save 30.83%",False,True
Thunder.Models.RateDTO,1,98098,"UPS Next Day Air",False,False,False,07/21,"10:30 AM",Friday,"Estimated Delivery Friday 07/21 by 10:30 AM if shipped today","$980.98 retail",98098,758.89,$758.89,False,ups_next_day_air,22.64,"Save 22.64%",False,True
Thunder.Models.RateDTO,2,73081,"UPS 2nd Day Air",False,False,False,07/24,"11:00 PM",Monday,"Estimated Delivery Monday 07/24 by 11:00 PM if shipped today","$730.81 retail",73081,550.15,$550.15,False,ups_2nd_day_air,24.72,"Save 24.72%",False,True
Thunder.Models.RateDTO,4,15988,"UPS Ground",True,False,False,07/25,"11:00 PM",Tuesday,"Estimated Delivery Tuesday 07/25 by 11:00 PM if shipped today","$159.88 retail",15988,89.32,$89.32,True,ups_ground,44.13,"Save 44.13%",False,True
Thunder.Models.RateDTO,0,74951,"UPS Next Day Air Early",False,True,False,07/21,"08:00 AM",Friday,"Estimated Delivery Friday 07/21 by 08:00 AM if shipped today","$749.51 retail",74951,521.21,$521.21,False,ups_next_day_air_early,30.46,"Save 30.46%",False,True
Thunder.Models.RateDTO,2,54206,"UPS 2nd Day Air",False,False,True,07/24,"11:00 PM",Monday,"Estimated Delivery Monday 07/24 by 11:00 PM if shipped today","$542.06 retail",54206,400.20,$400.20,False,ups_2nd_day_air,26.17,"Save 26.17%",False,True
Thunder.Models.RateDTO,1,71524,"UPS Next Day Air",False,False,False,07/21,"10:30 AM",Friday,"Estimated Delivery Friday 07/21 by 10:30 AM if shipped today","$715.24 retail",71524,541.65,$541.65,False,ups_next_day_air,24.27,"Save 24.27%",False,True
Thunder.Models.RateDTO,3,37261,"UPS 3 Day Select",False,False,False,07/25,"11:00 PM",Tuesday,"Estimated Delivery Tuesday 07/25 by 11:00 PM if shipped today","$372.61 retail",37261,275.36,$275.36,False,ups_3_day_select,26.10,"Save 26.10%",False,True
Thunder.Models.RateDTO,4,23461,"UPS Ground",True,False,False,07/25,"11:00 PM",Tuesday,"Estimated Delivery Tuesday 07/25 by 11:00 PM if shipped today","$234.61 retail",23461,136.68,$136.68,True,ups_ground,41.74,"Save 41.74%",False,True
Thunder.Models.RateDTO,0,131928,"UPS Next Day Air Early",False,True,False,07/21,"08:00 AM",Friday,"Estimated Delivery Friday 07/21 by 08:00 AM if shipped today","$1319.28 retail",131928,974.55,$974.55,False,ups_next_day_air_early,26.13,"Save 26.13%",False,True
