RateDTO,RateDTO.ID,RateDTO.exactCost,RateDTO.service,RateDTO.isCheapest,RateDTO.isFastest,RateDTO.isBest,RateDTO.deliveryDate,RateDTO.deliveryTime,RateDTO.deliveryDayOfWeek,RateDTO.estimatedDelivery,RateDTO.upsPrice,RateDTO.ourPrice,RateDTO.ourPriceString,RateDTO.isSelected,RateDTO.serviceClass,RateDTO.percentSaved,RateDTO.percentSavedString
Thunder.Models.RateDTO,2,11010,"UPS Next Day Air Early",False,False,True,06/12,"08:00 AM",Monday,"Estimated Delivery Monday 06/12 by 08:00 AM if shipped today","$110.10 retail",63.29,$63.29,False,ups_next_day_air_early,42.52,"Save 42.52%"
Thunder.Models.RateDTO,1,9414,"UPS Next Day Air [Saturday Delivery]",False,False,False,06/10,"12:00 PM",Saturday,"Estimated Delivery Saturday 06/10 by 12:00 PM if shipped today","$94.14 retail",68.32,$68.32,False,ups_next_day_air,27.43,"Save 27.43%"
Thunder.Models.RateDTO,3,7590,"UPS Next Day Air",False,False,False,06/12,"10:30 AM",Monday,"Estimated Delivery Monday 06/12 by 10:30 AM if shipped today","$75.90 retail",55.08,$55.08,False,ups_next_day_air,27.43,"Save 27.43%"
Thunder.Models.RateDTO,4,1607,"UPS Ground",True,False,False,06/12,"11:00 PM",Monday,"Estimated Delivery Monday 06/12 by 11:00 PM if shipped today","$16.07 retail",10.64,$10.64,False,ups_ground,33.77,"Save 33.77%"
Thunder.Models.RateDTO,6,3703,"UPS 3 Day Select",False,False,False,06/14,"11:00 PM",Wednesday,"Estimated Delivery Wednesday 06/14 by 11:00 PM if shipped today","$37.03 retail",28.12,$28.12,False,ups_3_day_select,24.07,"Save 24.07%"
Thunder.Models.RateDTO,5,4611,"UPS 2nd Day Air",False,False,False,06/13,"11:00 PM",Tuesday,"Estimated Delivery Tuesday 06/13 by 11:00 PM if shipped today","$46.11 retail",35.87,$35.87,False,ups_2nd_day_air,22.20,"Save 22.20%"
